,benchmark,dataset,algorithm,n_clusters,FM,AM,AR
0,fcps,engytime,dbscan,5.0,0.7028882696894739,-0.00011670853010585912,-1.875220827430968e-06
0,fcps,engytime,meanshift,5.0,0.7070204380906537,-2.5627412030519373e-15,0.0
0,fcps,twodiamonds,linkage_single,2.0,0.7057802648330319,-3.4897744707276385e-15,0.0
0,fcps,twodiamonds,linkage_average,2.0,0.9974968750146851,0.9873803840988731,0.9949999922070802
0,fcps,twodiamonds,linkage_weighted,2.0,0.9974968750146851,0.9873803840988731,0.9949999922070802
0,fcps,twodiamonds,linkage_centroid,2.0,0.9974968750146851,0.9873803840988731,0.9949999922070802
0,fcps,twodiamonds,linkage_median,2.0,0.9925096100859493,0.9680896184154518,0.9850375245509264
0,fcps,twodiamonds,linkage_ward,2.0,1.0,1.0,1.0
0,fcps,twodiamonds,genie,2.0,0.987547970762765,0.9514247207854725,0.975125122351754
0,fcps,twodiamonds,kmeans,2.0,1.0,1.0,1.0
0,fcps,twodiamonds,dbscan,2.0,0.7066641477903172,0.0,0.0
0,fcps,twodiamonds,meanshift,2.0,1.0,1.0,1.0
0,fcps,twodiamonds,linkage_single,3.0,0.7048941652409355,-4.4138426286002084e-06,-6.242255701382793e-06
0,fcps,twodiamonds,linkage_average,3.0,0.8750019723824612,0.7993767096338912,0.7658461413666746
0,fcps,twodiamonds,linkage_weighted,3.0,0.8636502902274271,0.7901252171920371,0.7461220518046177
0,fcps,twodiamonds,linkage_centroid,3.0,0.9974968750146851,0.9873803840988731,0.9949999922070802
0,fcps,twodiamonds,linkage_median,3.0,0.85931383778704,0.7761302430743598,0.7386461857837193
0,fcps,twodiamonds,linkage_ward,3.0,0.8657540500557707,0.7997824529798371,0.7497648171096801
0,fcps,twodiamonds,genie,3.0,0.987547970762765,0.9514247207854725,0.975125122351754
0,fcps,twodiamonds,kmeans,3.0,0.8647340005228069,0.7912221973800528,0.7479997176749468
0,fcps,twodiamonds,dbscan,3.0,0.7066641477903172,0.0,0.0
0,fcps,twodiamonds,meanshift,3.0,1.0,1.0,1.0
0,fcps,twodiamonds,linkage_single,4.0,0.7040102850622605,-4.359923878508574e-06,-6.226649769972787e-06
0,fcps,twodiamonds,linkage_average,4.0,0.719420700825847,0.6653685044328667,0.5178765840884547
0,fcps,twodiamonds,linkage_weighted,4.0,0.7072989776077055,0.6598093592781991,0.5005834964954513
0,fcps,twodiamonds,linkage_centroid,4.0,0.9974968750146851,0.9873803840988731,0.9949999922070802
0,fcps,twodiamonds,linkage_median,4.0,0.85931383778704,0.7761302430743598,0.7386461857837193
0,fcps,twodiamonds,linkage_ward,4.0,0.7108583184237071,0.6681819436983545,0.5056322068324063
0,fcps,twodiamonds,genie,4.0,0.987547970762765,0.9514247207854725,0.975125122351754
0,fcps,twodiamonds,kmeans,4.0,0.7074655601490383,0.6666271485855919,0.5008202137109714
0,fcps,twodiamonds,dbscan,4.0,0.7066641477903172,0.0,0.0
0,fcps,twodiamonds,meanshift,4.0,1.0,1.0,1.0
0,fcps,twodiamonds,linkage_single,5.0,0.9837941133275795,0.9335425181315059,0.967734320610597
0,fcps,twodiamonds,linkage_average,5.0,0.6677223917776979,0.6103582875736459,0.4461621343657426
0,fcps,twodiamonds,linkage_weighted,5.0,0.6586538120433277,0.6072724951631314,0.4341308593252496
0,fcps,twodiamonds,linkage_centroid,5.0,0.8415599162774119,0.7318362042262322,0.708474515743351
0,fcps,twodiamonds,linkage_median,5.0,0.8217216385068326,0.7056843656001076,0.6754839814135831
0,fcps,twodiamonds,linkage_ward,5.0,0.6502457603646336,0.6096389789643072,0.42312482309252536
