,benchmark,dataset,algorithm,n_clusters,FM,AM,AR
0,graves,line,linkage_ward,3.0,0.5162649887798028,0.16800672811651718,0.03149915773683926
0,graves,line,genie,3.0,0.5162649887798028,0.16800672811651718,0.03149915773683926
0,graves,line,linkage_single,4.0,0.8016550926514248,0.5128845993389629,0.5360894660502915
0,graves,line,linkage_average,4.0,0.621355647143153,0.366153580919588,0.28780119980389224
0,graves,line,linkage_weighted,4.0,0.4448122392757988,0.1463125085403672,-0.007797997145996157
0,graves,line,linkage_centroid,4.0,0.4564055101796317,0.1627533848056015,0.02932155352902014
0,graves,line,linkage_median,4.0,0.4448122392757988,0.1463125085403672,-0.007797997145996157
0,graves,line,linkage_ward,4.0,0.616076534091332,0.36362199014371827,0.28216727376062983
0,graves,line,genie,4.0,0.616076534091332,0.36362199014371827,0.28216727376062983
0,graves,line,linkage_single,5.0,0.7972437727170371,0.49938991391699855,0.5284761441354036
0,graves,line,linkage_average,5.0,0.5584424662986157,0.31445797542797205,0.22552988546989566
0,graves,line,linkage_weighted,5.0,0.5429265427009724,0.30894930930553666,0.21171621629087778
0,graves,line,linkage_centroid,5.0,0.5420976134288059,0.3087083336359033,0.21099440417043627
0,graves,line,linkage_median,5.0,0.5429265427009724,0.30894930930553666,0.21171621629087778
0,graves,line,linkage_ward,5.0,0.5525626152636298,0.31258138023112036,0.22022694899249373
0,graves,line,genie,5.0,0.5525626152636298,0.31258138023112036,0.22022694899249373
0,graves,parabolic,linkage_single,2.0,0.706159272011596,2.3505801273612852e-05,6.504084401759609e-05
0,graves,parabolic,linkage_average,2.0,0.7993750372517534,0.4913348512887005,0.5986750085638649
0,graves,parabolic,linkage_weighted,2.0,0.8026895277999702,0.5257901530842267,0.6017832994976842
0,graves,parabolic,linkage_centroid,2.0,0.827730617582069,0.5474748687911116,0.6557555083635614
0,graves,parabolic,linkage_median,2.0,0.8349279344934606,0.5673608387059106,0.6687945458568588
0,graves,parabolic,linkage_ward,2.0,0.8111510369678326,0.520506096041258,0.6205673411511297
0,graves,parabolic,genie,2.0,0.8111510369678326,0.520506096041258,0.6205673411511297
0,graves,parabolic,linkage_single,3.0,0.7054283392996836,-7.062210276458297e-07,-1.9495316990570316e-06
0,graves,parabolic,linkage_average,3.0,0.7446949694182433,0.3952591019161323,0.5159671563908651
0,graves,parabolic,linkage_weighted,3.0,0.7232059698710144,0.39868569269831006,0.4771902708577258
0,graves,parabolic,linkage_centroid,3.0,0.7730610891805264,0.43742743167056963,0.568585614734546
0,graves,parabolic,linkage_median,3.0,0.8349279344934606,0.5673608387059106,0.6687945458568588
0,graves,parabolic,linkage_ward,3.0,0.6967743097143232,0.3776835309031411,0.46446480685689256
0,graves,parabolic,genie,3.0,0.6967743097143232,0.3776835309031411,0.46446480685689256
0,graves,parabolic,linkage_single,4.0,0.7046987804276972,-2.356240630235366e-05,-6.493626591783134e-05
0,graves,parabolic,linkage_average,4.0,0.6466152801674181,0.3094166693145856,0.38270389729421084
0,graves,parabolic,linkage_weighted,4.0,0.608930188138636,0.2928969811149783,0.3520985887607884
0,graves,parabolic,linkage_centroid,4.0,0.7024265884822192,0.35791866394908267,0.46603638059844216
0,graves,parabolic,linkage_median,4.0,0.7730003228164771,0.44792281988200655,0.571495317277008
0,graves,parabolic,linkage_ward,4.0,0.5900052575101562,0.30554823496119593,0.32776056588539243
0,graves,parabolic,genie,4.0,0.5900052575101562,0.30554823496119593,0.32776056588539243
0,graves,parabolic,linkage_single,5.0,0.7039705995357884,-4.505447650301705e-05,-0.00012391932239339085
0,graves,parabolic,linkage_average,5.0,0.5806038017144275,0.29024018010637326,0.3222633470290698
0,graves,parabolic,linkage_weighted,5.0,0.6051091848347752,0.29576475712438977,0.3572736244166662
0,graves,parabolic,linkage_centroid,5.0,0.6767496021872081,0.3480021966725276,0.44579752283595947
0,graves,parabolic,linkage_median,5.0,0.7359903554197718,0.399150942196301,0.534498069708007
0,graves,parabolic,linkage_ward,5.0,0.5611935393802386,0.28871464438188676,0.30263473642455613
0,graves,parabolic,genie,5.0,0.5611935393802386,0.28871464438188676,0.30263473642455613
0,graves,zigzag,linkage_single,2.0,0.8031005006854269,0.5245480947602457,0.538604076590488
0,graves,zigzag,linkage_average,2.0,0.5529965732680918,0.28984956483007696,0.1596843477749182
0,graves,zigzag,linkage_weighted,2.0,0.553760090034909,0.290189940577814,0.1607490266725401
0,graves,zigzag,linkage_centroid,2.0,0.553760090034909,0.290189940577814,0.1607490266725401
0,graves,zigzag,linkage_median,2.0,0.553760090034909,0.290189940577814,0.1607490266725401
0,graves,zigzag,linkage_ward,2.0,0.553760090034909,0.290189940577814,0.1607490266725401
0,graves,zigzag,genie,2.0,0.553760090034909,0.290189940577814,0.1607490266725401
0,graves,zigzag,linkage_single,3.0,1.0,1.0,1.0
0,graves,zigzag,linkage_average,3.0,0.5085964758745157,0.32662378842953926,0.12919335235180396
0,graves,zigzag,linkage_weighted,3.0,0.49696316108805755,0.3478523683439631,0.13236150817124856
