,benchmark,dataset,algorithm,n_clusters,FM,AM,AR
0,sipu,d31,spectral,2.0,0.21012058976061765,0.20957899095434335,0.042331685905909036
0,sipu,d31,spectral,31.0,0.43742762209949465,0.7037913077110616,0.4159512517960281
0,sipu,a2,spectral,2.0,0.2277403540841117,0.29644320293821275,0.051590528186832255
0,sipu,a2,spectral,35.0,0.5666343466711513,0.7970273755129043,0.5530771619883919
0,sipu,aggregation,spectral,2.0,0.6099246728240303,0.5004171460734155,0.33969387757186237
0,sipu,aggregation,spectral,7.0,0.5197739534933336,0.6419787799665434,0.38770447470173547
0,sipu,s1,spectral,2.0,0.32489817010906746,0.3128100455591556,0.10383369179783752
0,sipu,s1,spectral,15.0,0.6859530692394045,0.8101203248398778,0.6627335936633374
0,sipu,unbalance,spectral,8.0,0.4952750833774458,0.5853179027658069,0.3418642064429903
0,sipu,unbalance,spectral,2.0,0.5490357415354216,0.3081918824373481,0.2564910704129544
0,sipu,pathbased,spectral,2.0,0.6371538287042734,0.4393361152965939,0.37345079498872163
0,sipu,pathbased,spectral,3.0,0.4578804234864949,0.24901433576510137,0.12126472781480349
0,sipu,a3,spectral,2.0,0.18828059509614792,0.26329899457076905,0.03531864904213556
0,sipu,a3,spectral,50.0,0.5718055537144126,0.8095832643018785,0.5621041762126302
0,sipu,spiral,spectral,2.0,0.5200898932460132,0.20008935188954866,0.14185425630762086
0,sipu,spiral,spectral,3.0,0.47365333822432765,0.30856618677585507,0.18050970474598566
0,sipu,a1,spectral,2.0,0.3005738486103339,0.3366125859474635,0.08975497637636946
0,sipu,a1,spectral,20.0,0.6126862477958475,0.7839379016003799,0.591578097275453
0,sipu,r15,spectral,2.0,0.3590721140443506,0.39766238054961606,0.1285650101355781
0,sipu,r15,spectral,15.0,0.6535073512845662,0.8132766772995547,0.6234861865967938
0,wut,smile,spectral,2.0,0.49832533946889906,0.3125903774216434,0.17183369139566973
0,wut,smile,spectral,6.0,0.45532682564150495,0.5714656823670361,0.26707231314263413
0,wut,z2,spectral,2.0,0.4503109737680507,0.09105890319648355,0.02822697352965972
0,wut,z2,spectral,5.0,0.3499721870193092,0.1858479073346021,0.053560561790308964
0,wut,x2,spectral,2.0,0.5239914210695156,0.2472401930332959,0.18550861458579188
0,wut,x2,spectral,3.0,0.4932844149904872,0.2989689220209366,0.224372046625327
0,wut,cross,spectral,2.0,0.6673065608288502,0.5554212732239572,0.4438387365430677
0,wut,cross,spectral,4.0,0.5186099697616342,0.49794596145156184,0.3538306542765969
0,wut,x1,spectral,2.0,0.7506678274563933,0.6035283039568271,0.5591230995262229
0,wut,x1,spectral,3.0,0.5408280382205702,0.4191320764035087,0.29302668131016213
0,wut,z1,spectral,2.0,0.5076438688098868,0.18869050270705093,0.12834566026806968
0,wut,z1,spectral,3.0,0.3780805063565425,0.10808140611323522,0.06627033001027531
0,wut,x3,spectral,2.0,0.5406287424682324,0.2552353386872607,0.2510137420799692
0,wut,x3,spectral,4.0,0.5636363218548577,0.4604110867058996,0.3988196624841216
0,wut,z3,spectral,2.0,0.49943750662015496,0.14709806364760114,0.16973671138792615
0,wut,z3,spectral,4.0,0.4798054538210301,0.22674101892961449,0.2525476963675943
0,wut,twosplashes,spectral,2.0,0.5073951228953789,0.011450455330437351,0.01576570931841534
0,other,square,spectral,2.0,0.5028188030637424,0.002842286510997609,0.003908371340439412
0,other,iris,spectral,2.0,0.623670926491196,0.34542436269517685,0.3248788405797101
0,other,iris,spectral,3.0,0.44577223750412837,0.27601012440171463,0.12733009939784995
0,other,iris5,spectral,2.0,0.46991691966680954,0.021609227128683246,-0.01662085483274655
0,other,iris5,spectral,3.0,0.46621649936498605,0.10991483276765321,0.03464979768621413
0,graves,fuzzyx,spectral,2.0,0.5263870765169822,0.37353852579551045,0.25184599055551543
0,graves,fuzzyx,spectral,5.0,0.6146404564493285,0.6091345353692401,0.5077212400402908
0,graves,ring,spectral,2.0,0.49961839435813704,-7.275300614037162e-05,-0.00010042478167625354
0,graves,line,spectral,2.0,0.6232065588876562,0.23716781796810596,0.09249956587531932
0,graves,parabolic,spectral,2.0,0.6233523602738047,0.18293249793105837,0.22774054106009056
0,graves,zigzag,spectral,2.0,0.4938762011596006,0.12761280589677293,0.02079611270772304
0,graves,zigzag,spectral,3.0,0.544590945094171,0.37073019866685586,0.17930502458850076
0,graves,dense,spectral,2.0,0.5257336860373916,0.03591207334087964,0.048197906340317426
